@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute age numeric
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,6,'critical/other existing credit',1169,'no known savings',67,yes,good
0<=X<200,48,'existing paid',5951,<100,22,yes,bad
'no checking',12,'critical/other existing credit',2096,<100,49,yes,good
<0,42,'existing paid',7882,<100,45,yes,good
<0,24,'delayed previously',4870,<100,53,yes,bad
'no checking',36,'existing paid',9055,'no known savings',35,yes,good
'no checking',24,'existing paid',2835,500<=X<1000,53,yes,good
0<=X<200,36,'existing paid',6948,<100,35,yes,good
'no checking',12,'existing paid',3059,>=1000,61,yes,good
0<=X<200,30,'critical/other existing credit',5234,<100,28,yes,bad
0<=X<200,12,'existing paid',1295,<100,25,yes,bad
<0,48,'existing paid',4308,<100,24,yes,bad
0<=X<200,12,'existing paid',1567,<100,22,yes,good
<0,24,'critical/other existing credit',1199,<100,60,yes,bad
<0,15,'existing paid',1403,<100,28,yes,good
<0,24,'existing paid',1282,100<=X<500,32,yes,bad
'no checking',24,'critical/other existing credit',2424,'no known savings',53,yes,good
<0,30,'no credits/all paid',8072,'no known savings',25,yes,good
0<=X<200,24,'existing paid',12579,<100,44,yes,bad
'no checking',24,'existing paid',3430,500<=X<1000,31,yes,good
'no checking',9,'critical/other existing credit',2134,<100,48,yes,good
<0,6,'existing paid',2647,500<=X<1000,44,yes,good
<0,10,'critical/other existing credit',2241,<100,48,no,good
0<=X<200,12,'critical/other existing credit',1804,100<=X<500,44,yes,good
'no checking',10,'critical/other existing credit',2069,'no known savings',26,no,good
<0,6,'existing paid',1374,<100,36,yes,good
'no checking',6,'no credits/all paid',426,<100,39,yes,good
>=200,12,'all paid',409,>=1000,42,yes,good
0<=X<200,7,'existing paid',2415,<100,34,yes,good
<0,60,'delayed previously',6836,<100,63,yes,bad
0<=X<200,18,'existing paid',1913,>=1000,36,yes,good
<0,24,'existing paid',4020,<100,27,yes,good
0<=X<200,18,'existing paid',5866,100<=X<500,30,yes,good
'no checking',12,'critical/other existing credit',1264,'no known savings',57,yes,good
>=200,12,'existing paid',1474,<100,33,yes,good
0<=X<200,45,'critical/other existing credit',4746,<100,25,yes,bad
'no checking',48,'critical/other existing credit',6110,<100,31,yes,good
>=200,18,'existing paid',2100,<100,37,yes,bad
>=200,10,'existing paid',1225,<100,37,yes,good
0<=X<200,9,'existing paid',458,<100,24,yes,good
'no checking',30,'existing paid',2333,500<=X<1000,30,yes,good
0<=X<200,12,'existing paid',1158,500<=X<1000,26,yes,good
0<=X<200,18,'delayed previously',6204,<100,44,yes,good
<0,30,'critical/other existing credit',6187,100<=X<500,24,yes,good
<0,48,'critical/other existing credit',6143,<100,58,yes,bad
'no checking',11,'critical/other existing credit',1393,<100,35,yes,good
'no checking',36,'existing paid',2299,500<=X<1000,39,yes,good
<0,6,'existing paid',1352,500<=X<1000,23,yes,good
'no checking',11,'critical/other existing credit',7228,<100,39,yes,good
'no checking',12,'existing paid',2073,100<=X<500,28,yes,good
0<=X<200,24,'delayed previously',2333,'no known savings',29,yes,good
0<=X<200,27,'delayed previously',5965,<100,30,yes,good
'no checking',12,'existing paid',1262,<100,25,yes,good
'no checking',18,'existing paid',3378,'no known savings',31,yes,good
0<=X<200,36,'delayed previously',2225,<100,57,yes,bad
'no checking',6,'all paid',783,'no known savings',26,yes,good
0<=X<200,12,'existing paid',6468,'no known savings',52,yes,bad
'no checking',36,'critical/other existing credit',9566,<100,31,yes,good
>=200,18,'existing paid',1961,<100,23,yes,good
<0,36,'critical/other existing credit',6229,<100,23,yes,bad
0<=X<200,9,'existing paid',1391,<100,27,yes,good
0<=X<200,15,'critical/other existing credit',1537,'no known savings',50,yes,good
0<=X<200,36,'no credits/all paid',1953,<100,61,yes,bad
0<=X<200,48,'no credits/all paid',14421,<100,25,yes,bad
'no checking',24,'existing paid',3181,<100,26,yes,good
'no checking',27,'existing paid',5190,'no known savings',48,yes,good
'no checking',12,'existing paid',2171,<100,29,yes,good
0<=X<200,12,'existing paid',1007,>=1000,22,yes,good
'no checking',36,'existing paid',1819,<100,37,yes,bad
'no checking',36,'existing paid',2394,'no known savings',25,yes,good
'no checking',36,'existing paid',8133,<100,30,yes,good
'no checking',7,'critical/other existing credit',730,'no known savings',46,yes,good
<0,8,'critical/other existing credit',1164,<100,51,yes,good
0<=X<200,42,'critical/other existing credit',5954,<100,41,yes,good
<0,36,'existing paid',1977,'no known savings',40,yes,bad
<0,12,'critical/other existing credit',1526,<100,66,yes,good
<0,42,'existing paid',3965,<100,34,yes,bad
0<=X<200,11,'delayed previously',4771,<100,51,yes,good
'no checking',54,'no credits/all paid',9436,'no known savings',39,yes,good
0<=X<200,30,'existing paid',3832,<100,22,yes,good
'no checking',24,'existing paid',5943,'no known savings',44,yes,bad
'no checking',15,'existing paid',1213,500<=X<1000,47,yes,good
'no checking',18,'existing paid',1568,100<=X<500,24,yes,good
<0,24,'existing paid',1755,<100,58,yes,good
<0,10,'existing paid',2315,<100,52,yes,good
'no checking',12,'critical/other existing credit',1412,<100,29,yes,good
0<=X<200,18,'critical/other existing credit',1295,<100,27,yes,good
0<=X<200,36,'existing paid',12612,100<=X<500,47,yes,bad
<0,18,'existing paid',2249,100<=X<500,30,yes,good
<0,12,'no credits/all paid',1108,<100,28,yes,bad
'no checking',12,'critical/other existing credit',618,<100,56,yes,good
<0,12,'critical/other existing credit',1409,<100,54,yes,good
'no checking',12,'critical/other existing credit',797,'no known savings',33,yes,bad
>=200,24,'critical/other existing credit',3617,'no known savings',20,yes,good
0<=X<200,12,'existing paid',1318,>=1000,54,yes,good
0<=X<200,54,'no credits/all paid',15945,<100,58,yes,bad
'no checking',12,'critical/other existing credit',2012,'no known savings',61,yes,good
0<=X<200,18,'existing paid',2622,100<=X<500,34,yes,good
0<=X<200,36,'critical/other existing credit',2337,<100,36,yes,good
0<=X<200,20,'delayed previously',7057,'no known savings',36,yes,good
'no checking',24,'existing paid',1469,100<=X<500,41,yes,good
0<=X<200,36,'existing paid',2323,<100,24,yes,good
'no checking',6,'delayed previously',932,<100,24,yes,good
0<=X<200,9,'critical/other existing credit',1919,<100,35,yes,good
'no checking',12,'existing paid',2445,'no known savings',26,yes,good
0<=X<200,24,'critical/other existing credit',11938,<100,39,yes,bad
'no checking',18,'all paid',6458,<100,39,yes,bad
0<=X<200,12,'existing paid',6078,<100,32,yes,good
<0,24,'existing paid',7721,'no known savings',30,no,good
0<=X<200,14,'existing paid',1410,500<=X<1000,35,yes,good
0<=X<200,6,'delayed previously',1449,100<=X<500,31,yes,good
>=200,15,'existing paid',392,<100,23,yes,good
0<=X<200,18,'existing paid',6260,<100,28,yes,good
'no checking',36,'critical/other existing credit',7855,<100,25,yes,bad
<0,12,'existing paid',1680,500<=X<1000,35,yes,good
'no checking',48,'critical/other existing credit',3578,'no known savings',47,yes,good
<0,42,'existing paid',7174,'no known savings',30,yes,bad
<0,10,'critical/other existing credit',2132,'no known savings',27,no,good
<0,33,'critical/other existing credit',4281,500<=X<1000,23,yes,bad
0<=X<200,12,'critical/other existing credit',2366,500<=X<1000,36,yes,good
<0,21,'existing paid',1835,<100,25,yes,bad
'no checking',24,'critical/other existing credit',3868,<100,41,yes,good
'no checking',12,'existing paid',1768,<100,24,yes,good
>=200,10,'critical/other existing credit',781,<100,63,yes,good
0<=X<200,18,'existing paid',1924,'no known savings',27,yes,bad
